RHEA_ID	DIRECTION	MASTER_ID	ID
10000	UN	10000	GO:0050168
10008	UN	10008	GO:0051920
10012	UN	10012	GO:0018530
10016	UN	10016	GO:0050285
10020	UN	10020	GO:0004755
10024	UN	10024	GO:0042054
10028	UN	10028	GO:0047821
10032	UN	10032	GO:0050170
10036	UN	10036	GO:0018465
10040	UN	10040	GO:0008441
10044	UN	10044	GO:0018460
10048	UN	10048	GO:0003961
10052	UN	10052	GO:0140175
10056	UN	10056	GO:0047459
10060	UN	10060	GO:0047835
10064	UN	10064	GO:0050413
10068	UN	10068	GO:0047266
10072	UN	10072	GO:0052729
10076	UN	10076	GO:0000016
10080	UN	10080	GO:0018510
10084	UN	10084	GO:0018578
10088	UN	10088	GO:0047235
10092	UN	10092	GO:0047846
10096	UN	10096	GO:0061579
10100	UN	10100	GO:0004771
10104	UN	10104	GO:0016707
10108	UN	10108	GO:0047037
10112	UN	10112	GO:0004122
10116	UN	10116	GO:0004616
10120	UN	10120	GO:0003726
10124	UN	10124	GO:0033776
10128	UN	10128	GO:0034020
10132	UN	10132	GO:0018858
10136	UN	10136	GO:0009028
10140	UN	10140	GO:0047017
10144	UN	10144	GO:0008254
10148	UN	10148	GO:0047711
10152	UN	10152	GO:0008804
10156	UN	10156	GO:0047089
10160	UN	10160	GO:0003939
10164	UN	10164	GO:0004634
10168	UN	10168	GO:0050617
10172	UN	10172	GO:0047989
10176	UN	10176	GO:0102443
10180	UN	10180	GO:0016155
10184	UN	10184	GO:0047570
10188	UN	10188	GO:0004421
10192	UN	10192	GO:0015419
10196	UN	10196	GO:0043748
10200	UN	10200	GO:0047540
10204	UN	10204	GO:0047133
10208	UN	10208	GO:0004057
10212	UN	10212	GO:0047589
10216	UN	10216	GO:0008353
10220	UN	10220	GO:0004831
10224	UN	10224	GO:0008478
10232	UN	10232	GO:0047281
10236	UN	10236	GO:0047212
10240	UN	10240	GO:0004318
10244	UN	10244	GO:0004334
10248	UN	10248	GO:0004170
10252	UN	10252	GO:0033847
10256	UN	10256	GO:0051752
10260	UN	10260	GO:0015444
10264	UN	10264	GO:0004034
10268	UN	10268	GO:0008672
10272	UN	10272	GO:0004143
10280	UN	10280	GO:0102741
10284	UN	10284	GO:0050047
10288	UN	10288	GO:0050033
10292	UN	10292	GO:0004343
10296	UN	10296	GO:0047100
10300	UN	10300	GO:0004365
10304	UN	10304	GO:0008779
10312	UN	10312	GO:0018628
10316	UN	10316	GO:0050341
10320	UN	10320	GO:0050346
10332	UN	10332	GO:0047190
10336	UN	10336	GO:0003994
10340	UN	10340	GO:0034003
10344	UN	10344	GO:0047159
10348	UN	10348	GO:0017168
10352	UN	10352	GO:0047416
10356	UN	10356	GO:0047009
10360	UN	10360	GO:0047856
10364	UN	10364	GO:0050458
10368	UN	10368	GO:0019180
10372	UN	10372	GO:0047110
10376	UN	10376	GO:0043682
10380	UN	10380	GO:0004588
10388	UN	10388	GO:0004613
10392	UN	10392	GO:0045551
10396	UN	10396	GO:0050018
10400	UN	10400	GO:0047945
10408	UN	10408	GO:0050632
10412	UN	10412	GO:0047631
10416	UN	10416	GO:0018805
10420	UN	10420	GO:0031299
10424	UN	10424	GO:0047980
10428	UN	10428	GO:0004052
10432	UN	10432	GO:0047411
10436	UN	10436	GO:0033988
10440	UN	10440	GO:0004341
10444	UN	10444	GO:0102917
10448	UN	10448	GO:0033759
10456	UN	10456	GO:0008925
10460	UN	10460	GO:0050219
10464	UN	10464	GO:0004099
10468	UN	10468	GO:0050193
10472	UN	10472	GO:0047529
10484	UN	10484	GO:0050128
10488	UN	10488	GO:0030272
10492	UN	10492	GO:0052731
10500	UN	10500	GO:0050441
10508	UN	10508	GO:0004802
10516	UN	10516	GO:0047010
10520	UN	10520	GO:0046481
10524	UN	10524	GO:0008683
10528	UN	10528	GO:0047088
10532	UN	10532	GO:0004834
10536	UN	10536	GO:0033888
10540	UN	10540	GO:0004150
10548	UN	10548	GO:0047678
10552	UN	10552	GO:0050233
10556	UN	10556	GO:0033848
10560	UN	10560	GO:0047425
10564	UN	10564	GO:0047583
10568	UN	10568	GO:0050064
10572	UN	10572	GO:0050393
10576	UN	10576	GO:0047353
10580	UN	10580	GO:0004326
10584	UN	10584	GO:0033808
10588	UN	10588	GO:0050111
10596	UN	10596	GO:0004713
10600	UN	10600	GO:0004667
10604	UN	10604	GO:0034480
10608	UN	10608	GO:0016710
10612	UN	10612	GO:0050513
10616	UN	10616	GO:0033788
10620	UN	10620	GO:0016621
10628	UN	10628	GO:0009022
10644	UN	10644	GO:0047554
10652	UN	10652	GO:0050061
10656	UN	10656	GO:0030731
10660	UN	10660	GO:0018365
10664	UN	10664	GO:0018457
10668	UN	10668	GO:0050071
10672	UN	10672	GO:0003904
10680	UN	10680	GO:0018112
10684	UN	10684	GO:0004725
10688	UN	10688	GO:0050301
10692	UN	10692	GO:0033732
10696	UN	10696	GO:0008922
10700	UN	10700	GO:0018744
10704	UN	10704	GO:0004832
10708	UN	10708	GO:0047344
10712	UN	10712	GO:0050172
10716	UN	10716	GO:0004512
10720	UN	10720	GO:0004734
10724	UN	10724	GO:0004090
10732	UN	10732	GO:0047077
10736	UN	10736	GO:0004022
10740	UN	10740	GO:0004022
10744	UN	10744	GO:0047120
10748	UN	10748	GO:0004089
10752	UN	10752	GO:0034025
10756	UN	10756	GO:0050242
10760	UN	10760	GO:0008815
10772	UN	10772	GO:0008706
10776	UN	10776	GO:0047995
10780	UN	10780	GO:0047995
10788	UN	10788	GO:0047841
10792	UN	10792	GO:0004638
10796	UN	10796	GO:0047638
10800	UN	10800	GO:0000310
10804	UN	10804	GO:0047653
10812	UN	10812	GO:0043824
10816	UN	10816	GO:0047513
10820	UN	10820	GO:0047755
10824	UN	10824	GO:0046554
10828	UN	10828	GO:0018860
10832	UN	10832	GO:0140336
10840	UN	10840	GO:0004795
10844	UN	10844	GO:0019162
10856	UN	10856	GO:0003851
10860	UN	10860	GO:0047081
10864	UN	10864	GO:0047081
10868	UN	10868	GO:0004144
10872	UN	10872	GO:0019807
10876	UN	10876	GO:0018799
10880	UN	10880	GO:0033960
10884	UN	10884	GO:0047906
10896	UN	10896	GO:0050055
10900	UN	10900	GO:0047313
10912	UN	10912	GO:0004592
10924	UN	10924	GO:0047466
10932	UN	10932	GO:0004055
10936	UN	10936	GO:0043831
10940	UN	10940	GO:0034002
10944	UN	10944	GO:1990738
10948	UN	10948	GO:0047931
10952	UN	10952	GO:0047161
10956	UN	10956	GO:0050344
10960	UN	10960	GO:0050043
10964	UN	10964	GO:0004856
10968	UN	10968	GO:0047612
10972	UN	10972	GO:0047329
10976	UN	10976	GO:0018629
10980	UN	10980	GO:0030378
10984	UN	10984	GO:0050042
10992	UN	10992	GO:0030267
10996	UN	10996	GO:0030763
11000	UN	11000	GO:0047417
11004	UN	11004	GO:0018658
11008	UN	11008	GO:0140818
11012	UN	11012	GO:0050365
11016	UN	11016	GO:0004037
11020	UN	11020	GO:0008440
11024	UN	11024	GO:0047666
11028	UN	11028	GO:0019158
11032	UN	11032	GO:0018850
11036	UN	11036	GO:0015418
11040	UN	11040	GO:0004424
11044	UN	11044	GO:0018785
11048	UN	11048	GO:0047179
11060	UN	11060	GO:0004822
11064	UN	11064	GO:0042132
11068	UN	11068	GO:0047402
11072	UN	11072	GO:0018618
11076	UN	11076	GO:0018618
11080	UN	11080	GO:0002953
11084	UN	11084	GO:0047842
11088	UN	11088	GO:0050351
11092	UN	11092	GO:0141152
11096	UN	11096	GO:0141153
11100	UN	11100	GO:0050217
11104	UN	11104	GO:0052706
11108	UN	11108	GO:0008459
11112	UN	11112	GO:0008908
11116	UN	11116	GO:0004145
11120	UN	11120	GO:0008824
11128	UN	11128	GO:0016210
11132	UN	11132	GO:0016630
11136	UN	11136	GO:0001665
11140	UN	11140	GO:0004615
11148	UN	11148	GO:0004322
11152	UN	11152	GO:0047592
11156	UN	11156	GO:0050391
11160	UN	11160	GO:0045303
11164	UN	11164	GO:0004608
11168	UN	11168	GO:0018464
11172	UN	11172	GO:0008705
11176	UN	11176	GO:0033831
11180	UN	11180	GO:0004816
11184	UN	11184	GO:0003837
11188	UN	11188	GO:0047427
11192	UN	11192	GO:0018784
11196	UN	11196	GO:0008939
11204	UN	11204	GO:0004077
11212	UN	11212	GO:0047719
11216	UN	11216	GO:0047507
11224	UN	11224	GO:0008716
11228	UN	11228	GO:0047890
11232	UN	11232	GO:0050186
11236	UN	11236	GO:0050514
11240	UN	11240	GO:0050331
11248	UN	11248	GO:0050526
11256	UN	11256	GO:0050645
11260	UN	11260	GO:0016174
11264	UN	11264	GO:0016174
11268	UN	11268	GO:0019148
11272	UN	11272	GO:1990464
11276	UN	11276	GO:0052716
11280	UN	11280	GO:0047153
11284	UN	11284	GO:0047993
11292	UN	11292	GO:0050264
11296	UN	11296	GO:0047533
11300	UN	11300	GO:0050280
11304	UN	11304	GO:0050385
11308	UN	11308	GO:0003989
11312	UN	11312	GO:0018788
11316	UN	11316	GO:0034013
11320	UN	11320	GO:0050373
11328	UN	11328	GO:0047863
11332	UN	11332	GO:1990817
11336	UN	11336	GO:0030768
11340	UN	11340	GO:0047435
11344	UN	11344	GO:0008781
11348	UN	11348	GO:0015446
11352	UN	11352	GO:0008776
11356	UN	11356	GO:0003954
11364	UN	11364	GO:0008986
11372	UN	11372	GO:0004071
11376	UN	11376	GO:0047920
11384	UN	11384	GO:0047050
11388	UN	11388	GO:0070524
11392	UN	11392	GO:0052659
11396	UN	11396	GO:0047336
11404	UN	11404	GO:0050378
11408	UN	11408	GO:0050258
11412	UN	11412	GO:0003848
11416	UN	11416	GO:0047201
11420	UN	11420	GO:0033784
11424	UN	11424	GO:0016905
11428	UN	11428	GO:0046562
11432	UN	11432	GO:0033801
11436	UN	11436	GO:0004129
11444	UN	11444	GO:0033887
11448	UN	11448	GO:0047007
11452	UN	11452	GO:0050595
11456	UN	11456	GO:0003827
11460	UN	11460	GO:0043843
11464	UN	11464	GO:0047139
11468	UN	11468	GO:0047301
11472	UN	11472	GO:0050131
11480	UN	11480	GO:0018668
11484	UN	11484	GO:0008121
11488	UN	11488	GO:0050252
11492	UN	11492	GO:0048472
11496	UN	11496	GO:0050471
11500	UN	11500	GO:0019143
11504	UN	11504	GO:0047145
11508	UN	11508	GO:0062101
11512	UN	11512	GO:0050274
11516	UN	11516	GO:0004778
11520	UN	11520	GO:0047219
11524	UN	11524	GO:0047787
11528	UN	11528	GO:0008817
11532	UN	11532	GO:0043799
11540	UN	11540	GO:0050123
11544	UN	11544	GO:0003948
